0.25I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n=100     B=100,,,,,n=100  B=200,,,,,Naive,,,,,n=200  B=100,,,,,n=200  B=200,,,,,Naive,,,,,n=100     B=100,,,,,n=100  B=200,,,,,Naive,,,,,n=200  B=100,,,,,n=200  B=200,,,,,Naive,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
-0.265703777,-0.297316917,-0.191211092,-0.299940809,6.40027098989583,-0.261835036,-0.326511319,-0.194023622,-0.188121279,4.4527332755897,-0.309064303,-0.225891773,-0.238290265,-0.823100722,5.96512152471632,-0.350854951,-0.249916881,-0.218372275,-0.168962662,5.69953166461622,0.0472424358901575,-0.185457719,-0.186251195,-0.485736121,4.28299039461973,-0.126267794,-0.185294896,-0.215983365,-0.35060966,4.73796648629317,-0.342839695,-0.34496785,-0.21699826,-0.213174284,6.68615650346106,-0.207567421,-0.297497334,-0.174781373,-0.350779657,4.40782631794518,-0.219976206,-0.149434927,-0.218709594,-0.97204696,5.79088776240899,-0.323606604,-0.246979142,-0.19210492,-0.233371626,5.61143277332354,0.0671474467458884,-0.169855151,-0.188554879,-0.505699299,4.280672058,-0.064724078,-0.16034977,-0.178908744,-0.452561449,4.63837084650936
0.0581534934787473,-0.268977232,-0.153576867,-0.531079787,4.13809491533575,-0.246270647,-0.262026122,-0.169733433,-0.424361958,5.44529782268615,-0.228687329,-0.304949278,-0.131062662,-0.15218872,5.27831549728399,-0.217201084,-0.200783916,-0.217355591,-0.316739717,5.62464774495267,-0.233815735,-0.238209415,-0.22433284,-0.345322531,5.23546119695728,-0.332069603,-0.313046647,-0.210236343,-0.346069371,5.17807509657676,0.0725116106892584,-0.258460117,-0.164210414,-0.552914059,4.19314821582338,-0.337406386,-0.291008322,-0.213801534,-0.316103924,5.6345542372225,-0.145136,-0.244528253,-0.125858924,-0.3011626,5.14983734506887,-0.242333,-0.219835183,-0.223234026,-0.270425359,5.74986038118321,-0.183409015,-0.204352614,-0.213555094,-0.4185456,5.07887607681568,-0.293558856,-0.278023667,-0.189463389,-0.422762351,5.1074005719953
-0.271899818,-0.250858956,-0.2742603,0.140610246237764,3.915213392,-0.629179012,-0.449915598,-0.423392748,0.516704932699835,4.605025504,-0.253231389,-0.007732416,-0.380567379,-0.542737996,5.70169951080225,-0.215460925,-0.321572355,-0.218061005,-0.235605978,4.95236074556413,-0.368454857,-0.252640819,-0.360718919,-0.068553924,4.61596891860403,-0.342817168,-0.303942152,-0.17821684,-0.120322794,6.08377439423838,-0.569390185,-0.439867408,-0.347740764,0.629807209505165,4.18945264562158,-1.034654175,-0.63428522,-0.531596464,1.04842685279208,5.23398815736847,-0.205584514,0.0472486093701163,-0.372257435,-0.693389325,5.75109008355725,-0.263895972,-0.315658539,-0.250702756,-0.168463481,4.97441929111198,-0.337456345,-0.270856703,-0.341120725,-0.133498802,4.63137208123532,-0.288796014,-0.265582478,-0.170259676,-0.225829674,6.00413932739706
-0.274949026,-0.163530723,-0.370963362,-0.137111602,5.62586863398044,-0.556287243,-0.432058805,-0.279522327,0.0337914891684632,4.73763511021033,-0.096982275,-0.248107399,-0.200002976,-0.608565949,4.13384973507374,-0.142655041,-0.221171591,-0.15478438,-0.17298715,4.05200574123383,-0.301700197,-0.261265455,-0.283259596,-0.166250271,5.04851003495517,-0.098243174,-0.09247132,-0.285768806,-0.734406894,6.42981002959048,-0.235339296,-0.116060163,-0.399907479,-0.257411203,5.70799682745582,-0.951739237,-0.609543597,-0.328224693,0.429802624980609,5.21861796846172,-0.076006454,-0.250423153,-0.162192123,-0.694538271,4.18966863854992,-0.132146361,-0.24768308,-0.116310595,-0.208568447,4.04744194954774,-0.338897149,-0.286061338,-0.302300852,-0.077768183,5.1836698594906,0.0116480533415984,-0.052873757,-0.230994173,-0.908909033,6.2291589868765
-0.556096575,-0.417875603,-0.211864978,0.368889538789789,5.31896815053164,-0.075803398,-0.116841862,-0.377644983,-0.367959005,4.2163565470301,-0.177658271,-0.243155972,-0.246190395,-0.04535085,3.89127789606627,-0.293725677,-0.207471146,-0.311764312,-0.194134871,4.85606907280805,-0.069056811,-0.216983538,-0.187746255,-0.600709912,5.1865795977523,-0.086291996,-0.187899108,-0.218979066,-0.385971216,4.46576235439829,-0.717329786,-0.43742914,-0.303561026,0.569278927048363,5.63487417683177,-0.063715018,-0.055311289,-0.428493265,-0.376398464,4.31008973560744,-0.103708995,-0.169370337,-0.233385087,-0.204076055,3.77233135632578,-0.303893734,-0.220903978,-0.319250515,-0.16316243,4.97592737013345,-0.036709911,-0.229372248,-0.176239348,-0.659337184,5.14948088009848,-0.049153119,-0.180413274,-0.179156128,-0.464222064,4.42814663002225
0.098293151223198,-0.157447201,-0.043756731,-0.771852181,4.87404400231691,-0.37858381,-0.216913264,-0.306885329,-0.343532611,5.76984212598654,-0.290503984,-0.319933836,-0.178037503,-0.200332573,4.42441383659761,-0.40233226,-0.284778514,-0.24894429,-0.266123186,6.05516202753085,-0.329927804,-0.196947541,-0.297646552,-0.440711981,7.46592024973768,-0.205491629,-0.148004516,-0.313175731,-0.614617427,5.00289497599434,0.0901864461266585,-0.165473317,-0.037942447,-0.756530929,4.86980795618998,-0.359160663,-0.195201016,-0.306293414,-0.310508489,5.73794307567325,-0.279761735,-0.294202394,-0.174747493,-0.257358944,4.41078953069884,-0.407423563,-0.257975712,-0.258716642,-0.284182935,6.08040402933859,-0.29901847,-0.175075712,-0.296000235,-0.493774405,7.35728195527496,-0.131756479,-0.113853474,-0.264398086,-0.72509516,4.88889087019899
-0.286813124,-0.34318846,-0.254364178,0.00729682837148059,5.72026279835179,-0.070958084,-0.117640361,-0.274960548,-1.209832612,5.70356940896192,-0.288913068,-0.246382722,-0.353178644,-0.282819925,5.95264217959889,-0.169962294,-0.140724679,-0.283753831,-0.771552146,5.56161913633749,-0.170866285,-0.200277772,-0.218935893,-0.725091609,5.16656061672429,-0.352424597,-0.190656566,-0.375286927,-0.198532899,5.86857500223987,-0.29642997,-0.359892773,-0.257083744,0.0682594539565973,5.79168064835816,0.0174697192315278,-0.083480529,-0.247235206,-1.279381918,5.55821735172201,-0.155951899,-0.201278645,-0.279028328,-0.446596019,5.77424159897828,-0.156465203,-0.125944144,-0.289890423,-0.801436364,5.51888225525066,-0.226821595,-0.210659152,-0.25451281,-0.605441264,5.24177326596376,-0.333956862,-0.191690767,-0.346996318,-0.23064851,5.81941207613561
0.163269984653611,-0.070014932,-0.132562748,-1.182138592,5.4545945639295,-0.523450572,-0.308873336,-0.347917518,0.0469910788794094,6.03337515645348,-0.024967216,-0.13443824,-0.199047226,-0.226584044,5.56237295970014,-0.402064801,-0.440497349,-0.20063979,-0.076619841,5.6562295021996,0.0191592909746897,-0.143880602,-0.165904744,-0.584751284,4.7141676439681,-0.106286433,-0.255725429,-0.269166707,-0.203299473,4.46443562711772,0.183754860113282,-0.047691335,-0.134254238,-1.211711901,5.44770472179634,-0.604341171,-0.318398954,-0.381359039,0.207795402145308,6.11027137868151,-0.002910675,-0.109264882,-0.200941079,-0.276437488,5.67323424250633,-0.456100521,-0.544990678,-0.145967,-0.049852534,5.86394951879556,0.0306679636310394,-0.13549362,-0.169932473,-0.614782926,4.71448312445294,-0.012639418,-0.216422485,-0.222300993,-0.379213387,4.35408269388852
-0.87368365,-0.390230708,-0.419031596,0.809211233993458,5.51825089112928,-0.117304749,-0.307762296,-0.253133273,-0.519272461,5.95101075587176,-0.231701399,-0.195048916,-0.254933004,-0.175320076,4.35364345494251,-0.513336756,-0.367959232,-0.216280325,-0.417586184,5.82072959168832,-0.364619147,-0.311204179,-0.149242352,-0.048267055,6.39418381598875,-0.320155134,-0.246604848,-0.335891088,-0.22289917,4.58754303919134,-1.002211091,-0.424361123,-0.438625623,1.00937291794126,5.7053367151822,-0.189372973,-0.300494021,-0.320152284,-0.412943321,6.17058565760089,-0.138248714,-0.125414119,-0.231555954,-0.307150718,4.20967787976561,-0.516449153,-0.390917491,-0.199129209,-0.421316112,5.88188494986967,-0.364314878,-0.322337305,-0.142002106,-0.040900938,6.42893694480503,-0.214869186,-0.19341363,-0.297992886,-0.385971699,4.49313724179403
-0.24215958,-0.31779119,-0.17892176,-0.286759823,6.23977943657871,-0.202343058,-0.322678781,-0.217144703,-0.102827689,3.96283648712789,-0.097309627,-0.103907564,-0.234803706,-0.437796328,5.31219422134599,-0.33604428,-0.349857281,-0.229571278,-0.074270543,5.4043691598744,-0.254040172,-0.267075661,-0.222059961,-0.276363277,4.64264068515672,-0.045993361,-0.249095153,-0.200284033,-0.533109553,4.8050721609342,-0.325635586,-0.352206558,-0.209494817,-0.17498891,6.42824806673478,-0.163499762,-0.311539668,-0.201321586,-0.162887118,3.88398772962977,0.0168351551384177,-0.085255195,-0.169441941,-0.614014256,5.11852115897618,-0.387665458,-0.394167294,-0.240439207,-0.022093009,5.62237291766705,-0.267916107,-0.240313387,-0.242712862,-0.268573574,4.63662647940865,-0.000767435,-0.237368004,-0.174249972,-0.615247072,4.78835723279567
-0.192563859,-0.0558303,-0.412199788,-0.413188521,5.72334155900392,-0.265177735,-0.206311744,-0.209327106,-0.644251878,5.15576324260123,-0.429514349,-0.283027215,-0.337077793,-0.180760116,5.19730047475125,-0.435712841,-0.342035224,-0.286215973,-0.059976996,5.69277632033628,-0.51774033,-0.30956707,-0.333944188,0.013562948697434,6.67135993661864,-0.349676954,-0.30708381,-0.268473606,-0.030554262,5.25777260896931,-0.019308358,0.0538133193260896,-0.386676274,-0.69093369,5.41678608711396,-0.349969243,-0.235551822,-0.277044028,-0.496555008,5.22456970015161,-0.423972402,-0.287617613,-0.31488676,-0.182485705,5.14378386155552,-0.484218024,-0.36746564,-0.274823364,-0.043559051,5.73986008915523,-0.642259408,-0.41175889,-0.33738595,0.178644117996223,6.83088124490345,-0.232685256,-0.244950859,-0.222552042,-0.21090426,5.09659737458982
