0.25I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n=100     B=100,,,,,n=100  B=200,,,,,Naïve,,,,,n=200  B=100,,,,,n=200  B=200,,,,,Naïve,,,,,n=100     B=100,,,,,n=100  B=200,,,,,Naïve,,,,,n=200  B=100,,,,,n=200  B=200,,,,,Naïve,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
-0.229411325,-0.237469801,-0.265510175,-0.23689492,6.310355206,-0.227920378,-0.232287708,-0.213851905,-0.287721588,4.678936889,-0.370201502,-0.275477722,-0.220317125,-0.184674944,3.945999368,-0.220853213,-0.221629656,-0.257740294,-0.353056385,4.662739391,-0.195826648,-0.278775736,-0.249759084,-0.215701967,5.630663643,-0.121378128,-0.209345127,-0.221500969,-0.442725188,5.053604588,-0.239606491,-0.234747676,-0.269633741,-0.213812358,6.620973372,-0.225545477,-0.22660997,-0.210306563,-0.295804742,4.594685384,-0.286813297,-0.221837601,-0.195823531,-0.352772598,3.55492105,-0.252317473,-0.233569615,-0.295114751,-0.267003921,4.982198906,-0.212262125,-0.294551115,-0.252159619,-0.180877521,6.250338476,-0.06673636,-0.170368964,-0.186978134,-0.581697622,4.540091735
-0.230332643,-0.218476804,-0.247390218,-0.413107299,5.309939042,-0.247027809,-0.290042342,-0.285245115,-0.143043975,6.264474597,-0.25947748,-0.24441468,-0.266284041,-0.332190022,4.259722901,-0.281101703,-0.253485943,-0.276687576,-0.17027571,4.806092845,-0.233069314,-0.252449506,-0.273394223,-0.297715534,4.759145438,-0.145789012,-0.242620107,-0.22561482,-0.388700156,5.128601646,-0.204386392,-0.211421638,-0.222738147,-0.487404882,5.177957416,-0.257871665,-0.276847418,-0.304663897,-0.112359145,6.206834798,-0.175941265,-0.191998652,-0.227566064,-0.522898941,3.718542104,-0.281144509,-0.257885791,-0.259755912,-0.17752872,4.681197487,-0.244009057,-0.268074959,-0.281753379,-0.252103169,4.723730976,-0.081425541,-0.216073472,-0.192372459,-0.516513507,4.705451828
-0.252144818,-0.235504612,-0.275186554,-0.25077023,6.002287816,-0.176929797,-0.175761396,-0.238264106,-0.423974335,4.753218413,-0.243140486,-0.227582709,-0.284155246,-0.120971301,5.799169246,-0.20270711,-0.247137587,-0.266446736,-0.305197707,5.831186825,-0.365053799,-0.284768864,-0.252055075,-0.134269371,4.139421082,-0.284863167,-0.251649792,-0.244706936,-0.235898521,4.57683849,-0.265040176,-0.251206424,-0.265300166,-0.239144238,6.036802118,-0.170084728,-0.166460227,-0.231428592,-0.463690172,4.73610223,-0.20559307,-0.188479837,-0.261773639,-0.236339814,5.176726475,-0.194631276,-0.221147295,-0.269164629,-0.344853833,5.657389791,-0.339454179,-0.300003324,-0.220320024,-0.169325471,4.005069053,-0.245441051,-0.212723786,-0.217685833,-0.344319755,4.061188281
-0.355583797,-0.192397081,-0.311176506,-0.190676785,3.924239392,-0.310638319,-0.240751397,-0.351351473,-0.10827752,5.424440288,-0.205474467,-0.217158789,-0.258509589,-0.393151035,4.821572366,-0.247392655,-0.248586498,-0.294125979,-0.224401033,5.311088118,-0.248970843,-0.258942489,-0.262528483,-0.193358515,5.77392492,-0.216808618,-0.210145749,-0.247801008,-0.265961781,4.761609819,-0.327940752,-0.167638385,-0.311922565,-0.242561431,3.80696554,-0.344620333,-0.247142143,-0.374479198,-0.074719748,5.712772066,-0.137034751,-0.203672253,-0.197281113,-0.561735693,4.22604263,-0.228874559,-0.237289034,-0.29123436,-0.250536403,5.183534128,-0.260005673,-0.275685425,-0.265134641,-0.155024289,6.129726761,-0.180483561,-0.181790502,-0.203550366,-0.389405214,4.137119883
-0.221972,-0.270547331,-0.215463438,-0.398903547,3.687170102,-0.199946012,-0.198486998,-0.191414825,-0.437077995,3.930345767,-0.215016288,-0.344116845,-0.193237255,-0.224582506,5.81167564,-0.283799021,-0.216968206,-0.252063826,-0.264365661,4.845876876,-0.218380885,-0.264930958,-0.23361868,-0.310707866,4.499187957,-0.157203996,-0.207287325,-0.268375902,-0.4041182,5.586105934,-0.215128619,-0.271968214,-0.22028336,-0.407056948,3.58350349,-0.172339642,-0.179202742,-0.176787493,-0.50056563,3.658396398,-0.157951041,-0.320322341,-0.153094137,-0.316683887,5.423798278,-0.277564594,-0.211419276,-0.240822987,-0.296844162,4.762004085,-0.195837995,-0.258620541,-0.23983393,-0.334481465,4.522625881,-0.094369894,-0.171935128,-0.239326511,-0.550562545,4.878250866
-0.191290063,-0.279481469,-0.181156083,-0.392926211,5.721019215,-0.178987273,-0.178057326,-0.254015434,-0.322091216,4.766299965,-0.329866273,-0.24280259,-0.248014292,-0.169003428,3.631250399,-0.27325972,-0.245685234,-0.286887009,-0.287118575,4.307772079,-0.21523696,-0.25430199,-0.222940624,-0.311762215,4.651160194,-0.277584914,-0.282967341,-0.245060027,-0.157619685,6.238048129,-0.156951225,-0.263871351,-0.175407426,-0.458464547,5.749815527,-0.198327942,-0.177907724,-0.26239449,-0.303653766,4.701394309,-0.252417914,-0.193251121,-0.206407111,-0.357182281,3.15136098,-0.291433807,-0.243721008,-0.301767637,-0.258481973,4.587125412,-0.191151671,-0.256176332,-0.2053703,-0.362272109,4.453204625,-0.19011431,-0.225189079,-0.219606596,-0.344205907,5.440104388
-0.165834708,-0.18683529,-0.286997619,-0.475078647,4.559673291,-0.250653805,-0.24127534,-0.188373872,-0.319605812,4.237671559,-0.263652206,-0.202826474,-0.242521425,-0.376571808,3.809542158,-0.240509532,-0.266519337,-0.241559658,-0.256687622,4.445062856,-0.27351956,-0.2565036,-0.258836711,-0.162732253,5.323377951,-0.266867168,-0.2499322,-0.211241931,-0.277024755,4.334219089,-0.136130061,-0.157244541,-0.272183876,-0.571749157,4.261418556,-0.222216044,-0.242215514,-0.182953527,-0.345751391,4.286720878,-0.21096065,-0.174755524,-0.191197518,-0.515119736,3.42602651,-0.24335659,-0.25878949,-0.25782828,-0.247449801,4.292096785,-0.256186326,-0.251279746,-0.27275071,-0.157583477,5.482610246,-0.220029934,-0.220099075,-0.176661856,-0.395157394,3.912372861
-0.400708323,-0.295391898,-0.325518303,0.023609753,4.973407194,-0.22864211,-0.28284226,-0.240152539,-0.124230401,6.037502473,-0.246641896,-0.232526431,-0.248569309,-0.296193934,4.241384997,-0.227582967,-0.221152786,-0.284041869,-0.233756291,5.928184189,-0.221591128,-0.290774364,-0.236324271,-0.196299126,7.610607075,-0.249530489,-0.24866426,-0.217179702,-0.243376895,4.509464826,-0.432020768,-0.313412159,-0.329616302,0.102640809,5.171104661,-0.259617321,-0.285986806,-0.259655657,-0.001183871,6.396989748,-0.231235402,-0.220383197,-0.21813629,-0.375283281,3.952151307,-0.220585229,-0.191504729,-0.295867988,-0.264184608,5.844510811,-0.209315297,-0.294902829,-0.226908138,-0.218275132,7.546556589,-0.182316957,-0.201041041,-0.174018992,-0.411698653,3.976618621
-0.233545254,-0.209067037,-0.269102955,-0.343526386,5.605233406,-0.339238099,-0.329814806,-0.25454401,0.073695392,6.093296172,-0.206909528,-0.212135696,-0.20491331,-0.355981692,4.909539012,-0.289659325,-0.303117613,-0.253099408,-0.062535606,6.157651624,-0.302551558,-0.280771143,-0.249038376,-0.070345601,4.761500351,-0.188930969,-0.2523417,-0.187682994,-0.344027472,5.195444178,-0.230726487,-0.206589775,-0.280057479,-0.334410636,5.671418245,-0.301520994,-0.320167947,-0.248386524,0.032815149,6.241944009,-0.123413238,-0.14606414,-0.17196884,-0.533548492,4.259709009,-0.315883089,-0.3107638,-0.284684157,0.002157591,6.733977267,-0.303981904,-0.281707087,-0.23042087,-0.08035159,4.508922135,-0.125592476,-0.206539226,-0.163558002,-0.486390087,4.522163782
-0.424722688,-0.32396133,-0.301242238,0.14147536,5.566484621,-0.206421759,-0.232544068,-0.245489747,-0.295579631,5.321063099,-0.279850487,-0.266058306,-0.226687603,-0.378361697,4.494772792,-0.23843663,-0.225127965,-0.276085121,-0.267955824,5.571968696,-0.318544228,-0.292854859,-0.25731338,-0.167449692,4.800499933,-0.274438029,-0.199843304,-0.218993464,-0.331776051,4.486750969,-0.431569125,-0.326122943,-0.314964759,0.196250525,5.7855328,-0.210631505,-0.225078173,-0.238519307,-0.315049669,4.784929699,-0.161054411,-0.214339546,-0.158295559,-0.653383024,3.748153678,-0.248308288,-0.227471001,-0.290150371,-0.237841872,5.860152452,-0.309449142,-0.299262587,-0.253308792,-0.181046493,4.922439148,-0.222356562,-0.173553949,-0.183388039,-0.450461458,4.144628315
