MCCL1,,,,,MCCL2,,,,,Naive,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
-0.35371729,-0.32105688,-0.25336494,-0.386056977,5.152451174,-0.151484228,-0.20118645,-0.333940317,-0.391198277,4.89203716834129,-0.323490054,-0.299851528,-0.288646274,0.0274647539372548,4.89488732513397
-0.233767019,-0.257721051,-0.244185636,-0.016909069,4.36924278856865,-0.358900684,-0.254795576,-0.352888956,0.101853552896426,4.9046859702842,-0.155849396,-0.206849473,-0.169015258,-0.291131396,4.10031796498449
-0.285651879,-0.293290011,-0.204831733,0.0490657370558542,5.29371469575719,-0.568743132,-0.25928038,-0.397720963,0.393040926105842,5.47670787865292,-0.088921264,-0.131271071,-0.348425481,-0.3065744,4.98457801454751
-0.268475583,-0.316990057,-0.23124585,-0.376446224,6.66125316294634,-0.13070086,-0.210336521,-0.251516018,-0.296769147,4.82040615368541,-0.181501135,-0.255015524,-0.166666966,-0.667349238,5.03753427315649
-0.328862472,-0.33392522,-0.224479768,-0.474029969,6.14068142422953,-0.186899056,-0.199680852,-0.333602837,-0.205176751,4.11703534941777,-0.284414504,-0.321705138,-0.336766658,-0.181591808,4.91870938743307
-0.448259876,-0.432146841,-0.164364962,-0.24067382,5.43413416049484,-0.17396374,-0.316367257,-0.159424867,-0.484806455,4.55495037577172,-0.285523164,-0.219801028,-0.26796876,-0.077459308,4.65255405041564
-0.481115609,-0.351955784,-0.322118693,0.0965361442799095,6.06677538195733,-0.31717152,-0.317063162,-0.253103968,-0.192426818,6.23984766860502,-0.127268833,-0.26685352,-0.180435753,-0.374503411,4.05498979721591
-0.376265371,-0.344914204,-0.257160265,-0.22738311,5.91303294597247,-0.264523595,-0.120627107,-0.310748276,-0.302675289,5.351034929,-0.319972053,-0.334435468,-0.248788776,-0.158318183,6.3356607421341
-0.219268253,-0.24950061,-0.239397089,-0.564898485,4.78361489861267,-0.516201096,-0.246476703,-0.305164994,-0.104056979,5.64765283725635,0.0525894598616615,-0.128665515,-0.20078696,-0.868333732,4.4459941897144
-0.348347208,-0.222838087,-0.319778663,-0.369475499,5.78530718428559,-0.146187501,-0.216644088,-0.094592405,-0.576092012,5.73004189106923,-0.132171334,-0.275409867,-0.195477373,-0.223123485,3.94009710749131
-0.352241913,-0.240102649,-0.31960144,-0.169464771,5.70009558761523,-0.274516168,-0.29537856,-0.316905085,-0.100237254,4.99919144217272,-0.409307056,-0.296328482,-0.253061564,-0.197570351,4.84999319567115
-0.08812155,-0.202015836,-0.118219501,-0.445898177,6.32996563403638,-0.036312969,-0.195113617,-0.177567635,-0.386438842,5.14354595843395,-0.304250822,-0.316776843,-0.2473388,0.087649423268447,4.99442061284097
-0.201129035,-0.238005071,-0.314880409,-0.149693811,4.47640313520494,-0.397971427,-0.271334154,-0.31684686,-0.173873751,4.8855094984882,-0.204707432,-0.275932456,-0.242741453,-0.275317933,4.78462672698606
-0.339961198,-0.296069065,-0.292881713,-0.027444661,4.61439860200295,-0.20396916,-0.258095529,-0.235161258,-0.063298942,4.50048476020028,-0.230226987,-0.178127691,-0.243503144,-0.441982406,5.39501737490606
-0.471126093,-0.429137293,-0.220393004,-0.209335717,6.29266638747674,-0.081057382,-0.290240844,-0.132442929,-0.380186397,5.01245081595636,-0.430293864,-0.25571419,-0.407407065,-0.169076471,5.71587092492947
-0.445383454,-0.27659614,-0.334988061,0.0109135879048455,5.7029276347194,-0.026848778,-0.05326422,-0.190814236,-0.67553114,4.53723797412357,-0.328294232,-0.29671811,-0.208559729,-0.211679074,4.97204930103038
-0.050795374,-0.178662747,-0.135188549,-0.638650302,4.91148450432097,-0.116164916,-0.232110136,-0.186732457,-0.898140191,5.83894694181304,-0.115845116,-0.192827678,-0.226990733,-0.399201142,5.30906801244362
-0.179337649,-0.210012659,-0.152206931,-0.433297209,4.65060170792522,-0.273924839,-0.342780195,-0.194545919,-0.323687554,5.72027025634532,-0.113771694,-0.201014599,-0.110168606,-0.689115252,5.09126751089323
-0.123092766,-0.285880043,-0.189041496,-0.467752004,5.10817538713602,-0.253862338,-0.245054267,-0.341874188,-0.165939176,4.77414052918341,-0.086304335,-0.184732121,-0.16850387,-0.389065561,5.48604029768216
-0.364449317,-0.244399131,-0.374196984,0.0076981117930151,5.27194053694828,-0.186330066,-0.320415115,-0.196658296,-0.505942018,5.15298741114542,-0.295771099,-0.306185042,-0.284197696,-0.24131846,5.69472924784352
-0.338436018,-0.287154336,-0.273266411,-0.139393296,4.62740350728081,-0.253017049,-0.362499368,-0.266208122,0.0763897198785919,5.00804604647196,-0.292866812,-0.237736385,-0.227507877,-0.25128236,6.20392589881256
-0.234705806,-0.209232694,-0.270261643,-0.381667903,5.31538211283982,-0.13581435,-0.245137955,-0.135978487,-0.628152371,6.82629066385886,-0.225837207,-0.229665504,-0.223851545,-0.46877691,6.51590989588547
-0.270246356,-0.317613073,-0.174580048,-0.213378681,4.43503933335312,-0.439132421,-0.280404856,-0.380575051,-0.06625343,5.386267543,-0.313252301,-0.138436347,-0.325227954,-0.33884128,5.9791478676369
-0.361480408,-0.248322137,-0.304084662,0.00542084880601207,5.3919682416625,-0.440520177,-0.337846857,-0.144928198,-0.322673626,5.42092129325518,-0.226699536,-0.238223733,-0.265345174,-0.158078834,5.52401526372912
-0.256069972,-0.168482544,-0.304225224,-0.158307636,4.84165312281334,0.0723218186357529,-0.141628269,-0.135585315,-0.691715828,4.38066062860595,-0.390004835,-0.232310751,-0.251511148,-0.126210618,5.87754712355917
-0.326794341,-0.348452858,-0.309152691,0.0815113266129357,4.93719925481354,-0.303557272,-0.231117783,-0.291932229,-0.285761799,4.50147651610516,-0.24392605,-0.227465214,-0.127324879,-0.526598561,4.80545847898801
0.0158915218134218,-0.105486402,-0.124341703,-0.647720137,5.27126514822375,-0.055347826,-0.271175163,-0.13993063,-0.505808281,4.37552724057447,-0.270662642,-0.222718302,-0.27761988,-0.175354064,5.10678493048746
-0.235254657,-0.241568917,-0.268366812,-0.34388821,5.16481073466802,-0.184120891,-0.173028759,-0.227095411,-0.724169843,5.17378880214087,-0.135919701,-0.226287499,-0.124720989,-0.518914688,5.25963491329963
-0.244540401,-0.173270706,-0.282495451,-0.446894508,6.26930226625321,-0.046710769,-0.170723101,-0.19756404,-0.280811248,3.81360766662879,-0.08463591,-0.248872312,-0.243949473,-0.631748862,5.12846257105205
-0.006376212,-0.20858938,-0.135961653,-0.615768602,4.68650651530703,-0.386578895,-0.300179923,-0.152020578,-0.109807676,5.40444610842128,-0.066526569,-0.201834136,-0.238886809,-0.505480062,4.06711298440845
-0.178805492,-0.325535008,-0.137664459,-0.783657911,5.0790867091402,-0.243580462,-0.176107404,-0.218368701,-0.467851616,6.54820475101941,-0.219346455,-0.175131132,-0.268716479,-0.325829686,5.18277797799336
-0.155034672,-0.267639201,-0.154370434,-0.344455569,5.9689984222604,-0.419183572,-0.273961733,-0.360714074,-0.237184802,4.61074187320676,-0.388514719,-0.240541533,-0.258888956,0.00817185580141382,6.19766819694491
-0.380299592,-0.39784292,-0.307465237,0.0804786184694934,5.09218287589931,-0.359807275,-0.337943348,-0.363294582,-0.341372883,4.22828516046517,-0.075803018,-0.170598734,-0.224833894,-0.567157762,4.39241179621263
