MCCL,,,,,,,,,,Naive,,,,,,,,,
hat_sd,,,,,sd,,,,,hat_sd,,,,,sd,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
0.171120583280328,0.0960109057589442,0.0760136600309071,0.274845348683059,0.660584890728645,-0.482946613,-0.281503304,-0.376531412,0.120304107438847,4.95575639181244,0.134250050470003,0.064175924242254,0.0499626242529296,0.26538634574189,0.609360497790971,-0.08815525,-0.186321069,-0.193099194,-0.525760252,5.36109626747992
0.100095036329615,0.0718676598236545,0.0676601401670945,0.165656950957289,0.587466274194978,0.0475241116369467,-0.08562793,-0.185929209,-0.483829657,5.26506599443012,0.145204780067481,0.0664019864130018,0.0630783256413496,0.214835940281677,0.582557781156905,-0.379890412,-0.315258836,-0.296258424,-0.012829304,5.29822621488991
0.18925764244663,0.0867059945022445,0.0798656627175591,0.293123277449826,0.65241373833015,-0.516418373,-0.369567846,-0.307298949,-0.049773121,5.58654912349162,0.128430907330314,0.0620471804484244,0.0667523980275027,0.25690258976922,0.56243114209356,-0.155706242,-0.304749507,-0.109012197,-0.523334454,5.4224893221044
0.166100897010329,0.0776211407782613,0.0746610140255241,0.267827844166258,0.560018118159333,-0.446486305,-0.218896079,-0.388525575,-0.018221169,4.69574749579399,0.115913801708058,0.0485832037392671,0.0683213721467731,0.208668185999083,0.714194088487153,-0.448383973,-0.249560852,-0.310270165,0.0859942512476761,6.62505736038393
0.186128307208358,0.072317380308138,0.0950558009222012,0.252667669573391,0.719212281169745,-0.600815707,-0.371848456,-0.3042097,0.207964853614029,5.45420969515546,0.130987209578019,0.0704331739148191,0.0573905601554898,0.236427479619088,0.540457117526321,-0.139561046,-0.221644267,-0.184379272,-0.527387438,4.39458120834197
0.190983058062616,0.0898233237764796,0.0804561959331982,0.290476252310725,0.544830031044607,-0.268204019,-0.240724085,-0.208347472,-0.039170075,5.06781162732489,0.145764178998137,0.0505714810292054,0.0628075219323307,0.230140371484881,0.573045677866315,-0.268634115,-0.189079653,-0.177783017,-0.330529092,4.91372426023126
0.196255706070131,0.0840372172850858,0.0793274192175675,0.277523667307579,0.740158317394052,-0.555004026,-0.356640354,-0.403667819,0.425960530603225,5.18751080304951,0.140837340079297,0.07425336112814,0.0767056410853948,0.246580725863933,0.579354424999053,-0.117270191,-0.111531647,-0.23289246,-0.649302381,5.05350388979996
0.174800139391534,0.0942223817053145,0.0643407586707292,0.318634427869225,0.644179750050074,-0.220659472,-0.20303404,-0.255249478,-0.834043316,5.81316279903156,0.154888179348027,0.0741665125223471,0.0726874690112223,0.262468183230133,0.504354095333938,-0.202762893,-0.215106155,-0.1186484,-0.530600411,5.02349615086582
0.150990497005146,0.066973733946515,0.0637758773937491,0.232675754567373,0.568947754754333,-0.268780258,-0.307057979,-0.279775406,-0.120215869,4.94182787469651,0.117653929123814,0.0647292028283758,0.0573220421752203,0.219395348619009,0.54766612016108,0.099596333364996,-0.105527486,-0.15376125,-0.803775105,4.95873539604303
0.170311140005851,0.0611601450090232,0.107792082927849,0.244983978968889,0.726201173684375,-0.126632137,-0.039416192,-0.295845228,-0.545562931,5.87053692781686,0.107472969804389,0.0479635504990613,0.0584064460809115,0.185621174078582,0.653393793222863,-0.091379299,-0.253929538,-0.056612251,-0.524432604,5.88338523997546
0.1518265207612,0.0739302973770577,0.0710551247520737,0.251707260084173,0.577154113775928,-0.272425187,-0.30268384,-0.267560543,-0.016988481,4.3629666216779,0.149889810062334,0.0646926667023437,0.0637626149854355,0.21131870189429,0.596709645269157,-0.447447172,-0.313180913,-0.246451754,-0.099263307,5.21767467650869
0.192353402002119,0.101066730188497,0.0918027082643561,0.3009843069271,0.526212773060658,-0.278954763,-0.343132035,-0.165627512,-0.275234715,4.94041323830874,0.130584731938532,0.064199895228291,0.055037694654259,0.234547058128427,0.619041370534169,-0.19219079,-0.206200327,-0.168110977,-0.358900853,5.03488214470007
0.160617075646323,0.0826951284847113,0.0755510811932983,0.244901695268401,0.647173505383312,-0.323660681,-0.24704218,-0.192255693,-0.23335396,5.61125037888394,0.131162789436356,0.0609483712519807,0.0582296631083289,0.225774822235648,0.568397085822489,-0.064813419,-0.160298627,-0.178981536,-0.452352479,4.63819515713151
0.136341166448471,0.0764606021188463,0.0866644487580948,0.238533383984981,0.639073845429136,-0.242351277,-0.21983101,-0.223271598,-0.270520842,5.75009231797365,0.140753272266771,0.0550446311248257,0.060130847091743,0.242002031262329,0.61981704820142,-0.293565308,-0.27801611,-0.189492362,-0.422787692,5.1070273020885
0.199777277951456,0.0913469421965144,0.0837662950547952,0.314540450930277,0.602431960130588,-0.263960262,-0.315884724,-0.250618605,-0.168620989,4.97577746742684,0.109999771078187,0.0568916104151452,0.0445662978420208,0.162635478453129,0.61736477889284,-0.288997371,-0.265668475,-0.170234622,-0.225833053,6.00489900592803
0.157526726940694,0.0715575856601607,0.082847288843527,0.236222277816118,0.502851922642773,-0.132216001,-0.247688442,-0.116405695,-0.208443533,4.04761842202471,0.126775554810779,0.0551705743588094,0.0577305886197395,0.233657065483972,0.769092874627854,0.011654921227015,-0.052866903,-0.230987598,-0.90887459,6.22900113092294
0.171409655112679,0.0729718318784007,0.0700187673274998,0.265980905877921,0.597076959428084,-0.303983312,-0.220937957,-0.319264521,-0.163088341,4.97626390578343,0.124324842639633,0.0501971816292355,0.0553307983697345,0.221335008429096,0.514127090977216,-0.048991251,-0.180376987,-0.179212016,-0.464349977,4.42694908209144
0.158710632686126,0.0625768044910271,0.0926326665025315,0.231626981368309,0.733489431310282,-0.407561408,-0.258013291,-0.258703638,-0.284159874,6.08027380802438,0.130672116393353,0.0553689582691985,0.0666412980875124,0.253012618267193,0.502049197589133,-0.131800442,-0.113948032,-0.264532814,-0.724693277,4.88790917878278
0.148588021642386,0.0719307083815167,0.0842361786039009,0.298882266196324,0.574640029740758,-0.142236382,-0.115659707,-0.285881285,-0.818690718,5.51216554561585,0.141626533294489,0.0536094422454079,0.0524238791842982,0.206997338769711,0.722057355721181,-0.333912457,-0.19168962,-0.346975087,-0.230685578,5.8193002072405
0.21380408643098,0.164055431494081,0.104278663964457,0.28566173525473,0.766223778047084,-0.45433271,-0.54389057,-0.146520525,-0.052836813,5.85761017758976,0.136018647763026,0.0553344274560085,0.0624750962203916,0.253951761969222,0.503971888311534,-0.012671105,-0.216510054,-0.222458505,-0.378485325,4.35230476047695
