mccm11,mccm12,mccm13,mccm21,mccm22,mccm23,dc1,dc2,dc3,cvm1,cvm2,cvm3,ks1,ks2,ks3
0.23,0,0,0.14,0.16,0,0.01,0.02,0,1,1,1,1,1,1
0.03,0,0.12,0,0,0,0.36,0.01,0,1,1,1,1,1,1
0.01,0.07,0.67,0.04,0,0.02,0.03,0.06,0,1,1,1,1,1,1
0.07,0,0.01,0.07,0.06,0,0.13,0,0.03,1,1,1,1,1,1
0.14,0.14,0,0.05,0.23,0,0.09,0,0,0,1,1,0,1,1
0.8,0.01,0.2,0,0.1,0,0.18,0,0,1,1,1,1,1,1
0.04,0.07,0,0.9,0.3,0.76,0,0,0,1,1,1,1,1,1
0.15,0.01,0,0.34,0,0,0.07,0,0,1,1,1,1,1,1
0.03,0,0,0.11,0,0.01,0.04,0.11,0,1,1,1,1,1,1
0.07,0.01,0.14,0.04,0.03,0.01,0.01,0,0,1,1,1,1,1,1
0.09,0,0,0.21,0.02,0,0,0.05,0,1,1,1,1,1,1
0.03,0.23,0,0,0.01,0,0.1,0,0,1,1,1,1,1,1
0,0,0,0.33,0.01,0,0.01,0.02,0,0,1,1,0,1,1
0.03,0.08,0.01,0.2,0.06,0,0,0,0,1,1,1,1,1,1
0.18,0,0.23,0.15,0.33,0,0.13,0.02,0.02,1,1,1,1,1,1
0.05,0.03,0,0.03,0,0,0.04,0,0,1,1,1,0,1,1
0,0,0.03,0,0.05,0,0.01,0,0.02,1,1,1,1,1,1
0.01,0,0,0.27,0.07,0,0.58,0.02,0,1,1,1,1,1,1
0.03,0.02,0,0.21,0,0,0.22,0,0,1,1,1,0,1,1
0.23,0.01,0.05,0.14,0,0.02,0.08,0,0,1,1,1,1,1,1
0.03,0.05,0,0.1,0.03,0,0.01,0,0,1,1,1,1,1,1
0.18,0.02,0,0.02,0,0,0,0,0,1,1,1,1,1,1
