MCCL1,,,,,MCCL2,,,,,Naïve,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
-0.212574818,-0.231183407,-0.265710011,-0.358713121,5.750664832,-0.122327086,-0.261462705,-0.193869879,-0.49455329,4.539118506,-0.30582951,-0.294907803,-0.187136636,-0.245076949,5.198759687
-0.221640595,-0.222940264,-0.236946705,-0.278667734,6.541372515,-0.2869898,-0.217981107,-0.26154791,-0.245052013,5.251692303,-0.239726127,-0.236419434,-0.25118828,-0.216497548,4.644250389
-0.251832214,-0.230131451,-0.272931961,-0.17583974,5.998770307,-0.287691313,-0.289018443,-0.237067335,-0.159149136,4.198458248,-0.252810225,-0.205562944,-0.199844361,-0.335173753,4.388905758
-0.16967726,-0.180090258,-0.29155692,-0.328370764,5.505218613,-0.285820102,-0.217021716,-0.25353958,-0.221249253,4.341988701,-0.200305754,-0.240388259,-0.225892091,-0.345389964,4.904898006
-0.203924896,-0.251872279,-0.222826078,-0.329252204,5.799398538,-0.275819298,-0.284012342,-0.267261909,-0.113143118,7.084982293,-0.267771598,-0.235306243,-0.261131099,-0.279099165,3.828843258
-0.200345383,-0.210478796,-0.242272656,-0.304023697,6.096599031,-0.254270825,-0.313931955,-0.227067059,-0.176670526,5.912919653,-0.19399746,-0.198005928,-0.236351814,-0.337585712,5.908934987
-0.341654129,-0.288736652,-0.279253201,-0.026388246,4.607904399,-0.083854291,-0.204670744,-0.244856642,-0.393254677,5.592507513,-0.389465894,-0.292138397,-0.260988456,-0.030279702,4.198907322
-0.227428214,-0.279228119,-0.225238951,-0.234815012,5.908919419,-0.278371703,-0.298169503,-0.274857358,-0.150355963,6.439844924,-0.245119401,-0.210299984,-0.232250386,-0.392887899,3.563027601
-0.219003816,-0.257383054,-0.229875632,-0.255019092,6.002828822,-0.320924284,-0.293582049,-0.227114318,-0.274719968,4.769631494,-0.125527008,-0.200584384,-0.230104179,-0.395918553,5.041764004
-0.303574678,-0.260889004,-0.291103259,-0.173651714,6.224256933,-0.336935648,-0.231368882,-0.305853655,-0.173321036,5.191210839,-0.175037799,-0.199599693,-0.216751866,-0.453638974,4.784850822
-0.277203579,-0.247462319,-0.22237305,-0.304978126,4.570077181,-0.237057434,-0.260762511,-0.267200101,-0.196289897,4.940008364,-0.259374977,-0.22957388,-0.236047374,-0.287054546,4.664344933
